userID,group,method,verified
mpr_2fExMRI9kkKGHNgAnRHLy3wCMsi,C,Whatsapp,1
mpr_2fEyB2HronjtWS2rvXqEPbijNqT,B,Sms,1
mpr_2fEz8n42lKW2FFog1GuCuG2EK8z,A,Sms,1
mpr_2fF137EJOVlkHX56HdEA99jpUhm,A,Sms,1
mpr_2fF25TQ8h3vpLvRSE7ursWLydHA,C,Whatsapp,1
mpr_2fF2dvnjYGk67TLuLy7PctZyF98,B,Sms,1
mpr_2fF2VeS4AzNZl3zmoinflaUqVqK,C,Sms,1
mpr_2fF4Uxz0qV4Sanuk3ReYJcyKvMN,B,Sms,0
mpr_2fF5CpBR0HB8FAy80UqIDWQx6wm,C,Whatsapp,1
mpr_2fF3b8UZDti35UJES77L8dxtxZj,A,Sms,1
mpr_2fF5BnkSLn9qHT9JeFGsBbckK0l,C,Whatsapp,1
mpr_2fF6YxW7bWiwBJ0APQKnzaJBoAv,B,Sms,0
mpr_2fED1whIrN00Xs2ZUAthxlidZ5O,C,Whatsapp,0
mpr_2fF6fJ8OGwKOVrsWujckW5588w5,B,Sms,1
mpr_2fKkoWidgiRdeYLpV17Q2ojKcNZ,B,Sms,1
mpr_2fKoWVD25ZLcIEmemcJuePq8x7n,B,Sms,0
mpr_2fKp6Iu2WS23a3NimFdWrPrQUgJ,A,Sms,1
mpr_2fKpo56Ru8b0VoswUJ3uVGAO1e1,B,Sms,1
mpr_2fKkisZwsJRyvaViDUZH2amqGWc,C,Whatsapp,1
mpr_2fKqrDnyWg2gwUdzzmbyCJEIXYb,A,Sms,1
mpr_2fKtqVcqVMd5UVdXxByi5vUXlGS,C,Sms,1
mpr_2fKu0iDWo3wfGeR164dP5rpIbfW,B,Sms,1
mpr_2fKuRY9F0wsAooY6jbx26DbIoyd,C,Sms,1
mpr_2fKub3ekRVIAhd6bIRYodw676ar,A,Sms,1
mpr_2fKvKyl2WhHklz4rrY9YZru2QwY,A,Sms,1
mpr_2fKva345Z4mETwamuRmFtKdEfkE,A,Sms,1
mpr_2fKw00VyyuXWrMSOFHVBw7KQjie,A,Sms,1
mpr_2fKyAHP9uuKUhoIg5K7xwwLTrH9,B,Sms,1
mpr_2fKyh3iRUHouRrleySgkQX5lOKu,C,Sms,1
mpr_2fKzUkPGms951AOwwX03qKCIaqX,C,Whatsapp,1
mpr_2fL37E1R0AVVeZrRGEWX0A8LTAO,C,Sms,1
mpr_2fL3430I1IsOIdxfzhOFDDGcKj8,A,Sms,1
mpr_2fL6Tj8zEPIlPz8Vw0yQZrTg3pa,B,Sms,1
mpr_2fL6hEURkAVUfyEhUDQ1k2DSe9H,C,Sms,1
mpr_2fL7t01TcVcyL9nP0xdjxeg3h0b,A,Sms,1
mpr_2fL8vjP8XdlmCXwoejrfdxsVZIW,C,Whatsapp,1
mpr_2fL9GXwkSN24JXI50SU7rrcQeHK,A,Sms,0
mpr_2fL9jwtbZL32IkLwr9W9cv4E7oH,C,Sms,1
mpr_2fLAPPc5gjwakV7vMRklPAi1U11,C,Whatsapp,1
mpr_2fL9d9IsiICT6x6KjgQSfL5YJo0,B,Sms,1
mpr_2fLEa74SKbYWIhpVTCrgKgM3A4r,C,Whatsapp,1
mpr_2fLHtYxWOFhVbnaXTvFFHzQdhQo,C,Whatsapp,1
mpr_2fLKPUYjsRh3K08wr7C5PSnEiMG,A,Sms,1
mpr_2fLSIxMPG83rqV8YTEAGOaxLyZc,B,Sms,1
mpr_2fLSM5xNj71fZfqHNXJLAkBYXnu,C,Whatsapp,1
mpr_2fLSsHwT17r47QSXTDIAXNQSqAO,A,Sms,1
mpr_2fLUFthANPPWmOeN4cKbIuOVuoy,B,Sms,1
mpr_2fLW485kDkmsp7tgOE09XAfJhpq,A,Sms,1
mpr_2fLXGyrQmAZz8nE4pUlhjksPTOh,A,Sms,0
mpr_2fLY3j4fdJxWgXuaDbbtS08KxoZ,B,Sms,1
mpr_2fLZ4N4FCtaVKZUwzcvvtRaWNEt,A,Sms,1
mpr_2fLZm1CBoiW3x7pSsUoHsA1k1th,A,Sms,1
mpr_2fKUN6wfcOi2d6gIKhnrlAaDTjj,C,Whatsapp,1
mpr_2fLbG19dutn27pHBpuS3yePsUxQ,B,Sms,1
mpr_2fLbZ7yRxeMSH4iQVyeFwBr8eE2,C,Whatsapp,1
mpr_2fLjNhQqBjmu0G8Ztr9NaVqc64h,B,Sms,1
mpr_2fLkiUeINNt4TYobiYqCWIgJPGu,A,Sms,1
mpr_2fLlpF43TKbxVMLSTyIRxC0LPQz,A,Sms,1
mpr_2fLn0EFphEG5dM4TRkgi5cbihZH,C,Whatsapp,1
